***** N = 1 *****
N       RTT           SRTT          RTT_VAR       RTO           
119     500.000000    499.999959    0.000072      500.000247    
***** N = 2 *****
N       RTT           SRTT          RTT_VAR       RTO           
0       500.000000    499.999964    0.000063      500.000216    
1       125.000000    453.124968    82.031289     781.250126    
2       500.000000    458.984347    71.777380     746.093868    
3       125.000000    417.236304    126.892111    924.804749    
4       500.000000    427.581766    113.273642    880.676333    
5       125.000000    389.759045    151.144993    994.339016    
6       500.000000    403.539165    137.473953    953.434978    
7       125.000000    368.721769    164.035907    1024.865398   
8       500.000000    385.131548    151.744044    992.107722    
9       125.000000    352.615104    170.711809    1035.462339   
10      500.000000    371.038216    160.274302    1012.135426   
11      125.000000    340.283439    174.026587    1036.389786   
12      500.000000    360.248009    165.457938    1022.079760   
13      125.000000    330.842008    175.553955    1033.057829   
14      500.000000    351.986757    168.668777    1026.661866   
15      125.000000    323.613413    176.154936    1028.233157   
16      500.000000    345.661736    170.700768    1028.464808   
17      125.000000    318.079019    176.295331    1023.260342   
18      500.000000    340.819142    172.016713    1028.885992   
19      125.000000    313.841749    176.222972    1018.733636   
20      500.000000    337.111530    172.889346    1028.668915   
21      125.000000    310.597589    176.066407    1014.863217   
22      500.000000    334.272890    173.481583    1028.199221   
23      125.000000    308.113779    175.889632    1011.672306   
24      500.000000    332.099557    173.892335    1027.668895   
25      125.000000    306.212112    175.722279    1009.101228   
26      500.000000    330.435598    174.182810    1027.166837   
27      125.000000    304.756148    175.576144    1007.060726   
28      500.000000    329.161630    174.391701    1026.728433   
29      125.000000    303.641426    175.454132    1005.457955   
30      500.000000    328.186248    174.544037    1026.362396   
31      125.000000    302.787967    175.355020    1004.208045   
32      500.000000    327.439471    174.656397    1026.065059   
33      125.000000    302.134537    175.275932    1003.238265   
34      500.000000    326.867720    174.740019    1025.827796   
35      125.000000    301.634255    175.213578    1002.488567   
36      500.000000    326.429973    174.802690    1025.640734   
37      125.000000    301.251226    175.164824    1001.910524   
38      500.000000    326.094823    174.849912    1025.494473   
39      125.000000    300.957970    175.126927    1001.465678   
40      500.000000    325.838224    174.885639    1025.380781   
41      125.000000    300.733446    175.097591    1001.123809   
42      500.000000    325.641765    174.912752    1025.292773   
43      125.000000    300.561545    175.074950    1000.861345   
44      500.000000    325.491352    174.933375    1025.224850   
45      125.000000    300.429933    175.057514    1000.659989   
46      500.000000    325.376191    174.949088    1025.172542   
47      125.000000    300.329167    175.044108    1000.505598   
48      500.000000    325.288021    174.961075    1025.132323   
49      125.000000    300.252019    175.033811    1000.387263   
50      500.000000    325.220516    174.970229    1025.101434   
51      125.000000    300.192952    175.025910    1000.296592   
52      500.000000    325.168833    174.977224    1025.077730   
53      125.000000    300.147729    175.019850    1000.227130   
54      500.000000    325.129263    174.982572    1025.059551   
55      125.000000    300.113105    175.015205    1000.173926   
56      500.000000    325.098967    174.986662    1025.045616   
57      125.000000    300.086596    175.011646    1000.133179   
58      500.000000    325.075771    174.989791    1025.034937   
59      125.000000    300.066300    175.008919    1000.101974   
60      500.000000    325.058012    174.992186    1025.026756   
61      125.000000    300.050761    175.006830    1000.078079   
62      500.000000    325.044416    174.994018    1025.020489   
63      125.000000    300.038864    175.005230    1000.059782   
64      500.000000    325.034006    174.995421    1025.015689   
65      125.000000    300.029755    175.004004    1000.045772   
66      500.000000    325.026036    174.996494    1025.012013   
67      125.000000    300.022781    175.003066    1000.035045   
68      500.000000    325.019934    174.997316    1025.009198   
69      125.000000    300.017442    175.002348    1000.026832   
70      500.000000    325.015262    174.997945    1025.007043   
71      125.000000    300.013354    175.001797    1000.020544   
72      500.000000    325.011685    174.998427    1025.005392   
73      125.000000    300.010224    175.001376    1000.015729   
74      500.000000    325.008946    174.998796    1025.004129   
75      125.000000    300.007828    175.001054    1000.012043   
76      500.000000    325.006849    174.999078    1025.003161   
77      125.000000    300.005993    175.000807    1000.009220   
78      500.000000    325.005244    174.999294    1025.002420   
79      125.000000    300.004589    175.000618    1000.007059   
80      500.000000    325.004015    174.999460    1025.001853   
81      125.000000    300.003513    175.000473    1000.005405   
82      500.000000    325.003074    174.999586    1025.001419   
83      125.000000    300.002690    175.000362    1000.004138   
84      500.000000    325.002354    174.999683    1025.001086   
85      125.000000    300.002059    175.000277    1000.003168   
86      500.000000    325.001802    174.999757    1025.000832   
87      125.000000    300.001577    175.000212    1000.002426   
88      500.000000    325.001380    174.999814    1025.000637   
89      125.000000    300.001207    175.000162    1000.001857   
90      500.000000    325.001056    174.999858    1025.000487   
91      125.000000    300.000924    175.000124    1000.001422   
92      500.000000    325.000809    174.999891    1025.000373   
93      125.000000    300.000708    175.000095    1000.001089   
94      500.000000    325.000619    174.999917    1025.000286   
95      125.000000    300.000542    175.000073    1000.000833   
96      500.000000    325.000474    174.999936    1025.000219   
97      125.000000    300.000415    175.000056    1000.000638   
